Time,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
2024-04-26 03:15:00,3610.1394,3783.0959,3235.9662,2786.1966,3220.0932,3289.5173,3190.3156,2383.6429,2485.799,2228.7111,2055.2301,3122.4841,2125.7741,2504.1022,1740.7383,2804.0719,2980.721,1680.1628,2621.0057,3000.8998,3571.7042,2214.1668,2918.1963,2366.5136,3177.2375,2632.5615,2746.1381,3017.6719,2112.5215,2920.8285,1822.1866
2024-04-26 03:30:00,3312.768,3740.0655,3327.3365,2587.3718,3385.0404,3171.0077,3422.6684,2460.3291,2469.2141,1651.0058,2304.8689,3142.2046,2263.4328,2452.3202,3009.1445,3053.3945,3068.9647,1534.553,2614.1046,2889.5846,3402.3366,2054.9388,2952.4573,2422.5736,3143.5515,2420.2553,2935.8717,2931.1534,2224.4946,3559.7915,1858.4263
2024-04-26 03:45:00,3262.206,3634.0815,3300.4186,2305.5806,3966.193,3106.4063,3290.3318,2381.8913,2604.6977,1967.8496,2344.9881,3163.695,2368.8054,2336.9181,2979.6221,2927.417,2878.8475,1695.0267,2553.6206,3001.6935,2331.7644,2044.602,2803.0753,2425.7043,3106.1311,2500.6962,2819.4233,3184.3134,2267.4021,3580.6533,1824.6364
2024-04-26 04:00:00,3113.3333,3913.4731,3489.8283,1960.7576,3894.8877,3603.3576,3336.8261,2432.7799,2552.8507,1937.3269,2434.9421,3258.9409,2433.793,2373.7989,3187.7789,2888.2809,2926.9765,1685.8219,2559.8282,3135.5125,2394.5151,1911.2719,2645.239,2338.8762,3256.5355,2482.2318,2704.182,3027.8577,2253.3453,3404.1658,1818.6113
2024-04-26 04:15:00,3314.5699,3723.8231,3258.8771,2015.201,3865.0844,3466.5027,3363.6794,2232.5629,2366.8087,2033.0625,2093.5808,3162.5515,2480.5737,2529.5615,2828.7187,2916.491,2906.8776,1813.3406,2511.2576,3219.9497,2622.0571,1685.5863,2546.8951,2439.0153,3429.1445,2616.7124,2817.5774,3174.532,2371.2513,3330.6647,1808.4191
2024-04-26 04:30:00,3271.0527,3928.4753,3269.4009,1848.3498,3810.4967,3442.6435,3181.0737,2137.9728,2314.0469,2399.1606,2067.6897,3070.6056,2189.0956,2503.4621,2997.5555,2816.053,3002.4478,1859.3459,2235.2487,3356.1517,2653.6931,1763.1421,2128.0546,2357.8273,3134.2352,2904.4179,2833.9206,3076.1512,2332.6277,3474.5431,1780.0643
2024-04-26 04:45:00,3353.4253,3751.006,2828.2575,1885.2327,3881.7431,3500.9457,3330.0752,2141.3733,2093.924,2223.2612,2018.5878,3122.4257,2329.2473,2005.2412,2879.7745,2426.5526,2912.3705,1777.6262,1937.8055,2838.4607,2588.6315,1868.3982,2385.6251,2519.7844,2974.5723,2785.8364,2851.9704,3070.8912,2365.4549,3534.192,1824.8133
2024-04-26 05:00:00,3380.7836,3069.8375,2821.8947,2108.4777,4028.7304,3622.3802,3277.145,2080.3339,2009.4914,2429.4105,1914.0923,2833.4245,2525.3414,1354.0914,3062.3826,2525.0639,3079.1014,1478.9224,1716.8824,2862.0624,2652.9282,1812.0249,2217.7347,2558.7615,3008.0485,3012.9195,2821.2717,3025.7744,2314.4654,3657.5966,1902.1134
2024-04-26 05:15:00,3572.781,3046.9014,2878.6011,2176.7673,4020.6,3621.8732,3252.6845,2057.4087,2216.9587,2355.4168,1922.5982,2837.5642,2366.0915,1500.2315,2845.9496,2583.9019,3050.1936,1675.961,1661.3066,2861.9445,2641.7142,1804.059,2511.0732,2407.7436,3116.3494,2596.6074,2346.0962,3048.5599,2292.8925,3739.0363,1890.7125
2024-04-26 05:30:00,3497.6615,3111.9308,3145.3881,2210.3316,4020.7512,3430.9605,3378.1303,1863.5211,1996.1619,2051.3866,1837.447,2910.4981,2495.1718,1469.5577,2731.1928,2506.4797,2994.0313,1734.717,1740.1645,2524.6904,2681.4233,1946.9952,2490.2774,2453.4227,3162.1301,2767.3983,2422.9592,2879.9218,2352.8367,3836.5169,1864.9997
2024-04-26 05:45:00,3804.7908,3110.7293,2823.1135,2271.9335,4139.7422,3279.1244,3251.8003,1788.4774,1967.9229,1952.7754,1816.3904,3152.0632,2476.9494,1613.8788,2805.7635,2539.5436,2831.9674,1846.9603,1934.7961,2437.3633,2614.2044,2059.4746,3002.8297,2578.4723,3105.0594,2671.9236,2273.9002,2978.0614,2397.783,3758.2998,1941.7536
2024-04-26 06:00:00,3763.4806,3329.9968,2619.1947,1755.2018,4143.7426,2928.6556,3004.4404,1495.714,1831.7334,1925.3623,2014.9652,3283.6401,2695.9547,1645.5802,2618.9975,2496.9604,2882.434,1725.1313,2111.4606,2374.4295,2592.8996,2162.6518,2904.7825,2533.5543,3269.8789,2754.4772,2358.6716,3039.943,2379.12,3639.1869,1926.4991
2024-04-26 06:15:00,3742.7252,3246.6111,2588.6068,1642.3164,4182.5347,2704.3553,2770.8462,2925.9718,1937.4925,1803.5661,1922.2599,3346.3357,2655.973,1679.688,2604.7168,2759.7668,3143.9993,1711.348,1747.9484,2595.3278,2484.9873,2229.9218,2775.4441,2600.8963,3170.6876,2855.1795,2240.1063,2857.0111,2490.5561,3598.515,1911.5317
2024-04-26 06:30:00,3232.499,2862.6428,2632.1893,1646.6987,3789.005,2563.4286,2749.1597,2838.872,2066.4548,1830.4568,1768.9329,2764.7476,2575.9121,1815.1171,2722.5621,2976.2059,3419.0894,1596.2171,1656.391,2090.3188,2763.3584,2097.6701,2836.3266,2544.5754,2916.77,2863.6284,2389.4642,2558.053,2538.2289,3407.965,2009.2672
2024-04-26 06:45:00,3201.1476,2967.2066,2691.3076,1643.4706,3639.2825,2773.3704,2720.3169,3087.8536,2087.7234,1673.0113,1959.4156,2798.232,2416.2008,1813.7979,2688.2521,2949.1428,3211.3676,1357.7789,1652.5979,2130.6549,2946.4032,2109.0097,2800.6026,2345.9566,3031.3369,2262.6427,2589.4451,2294.8787,2584.511,3670.8719,1899.4446
2024-04-26 07:00:00,3354.0343,2912.6074,2827.9943,1678.7224,3498.6981,2480.0952,2760.7833,2934.816,2379.6588,1791.8001,1911.8861,2760.3176,2524.855,1668.4244,2658.2223,3116.6549,3548.8019,1604.0527,1646.0418,1966.0764,2892.9523,2170.6602,2496.6993,2391.0188,3084.3954,2356.8212,2608.2874,2492.0663,2629.5673,3428.0102,1935.9378
2024-04-26 07:15:00,3121.4036,3119.9984,2708.9516,1803.0026,3541.0354,2538.8982,2790.9101,2995.1713,2352.5719,1924.4039,1563.7857,2643.3792,2236.8268,1760.8378,2737.2833,2998.041,3642.5825,1633.2173,1725.6092,1871.8483,3184.3414,1875.7349,2124.4235,2117.9607,3085.1663,2567.9921,2860.7511,2646.4421,2563.9336,3378.6712,1932.8656
2024-04-26 07:30:00,3297.0728,2950.5293,2588.7971,1918.9107,3608.5354,2760.0855,2782.0545,2955.3008,2387.3502,1918.5786,1962.0772,2745.542,2290.9802,1985.8159,2809.7415,3087.5363,3586.9941,1813.9607,1915.3583,1859.9301,2799.2683,1648.4643,2374.3507,1947.482,3253.0692,2487.7945,2936.6178,2588.2108,2467.283,3732.0693,1934.0466
2024-04-26 07:45:00,3516.5534,2913.6957,2576.1106,1836.4794,4157.4816,2904.9722,2989.605,3125.3861,2326.1326,1644.2006,1712.8161,2868.2292,2450.3985,1889.3231,3193.2022,3075.0526,3598.1718,2135.1355,2254.1329,2019.6875,3063.48,2067.9844,2446.533,2238.2836,3054.1436,2624.6229,2717.163,2774.2641,2629.1507,3838.5857,1872.704
2024-04-26 08:00:00,3975.819,3087.7073,1557.0976,1570.6676,4363.5119,3266.9134,3216.9253,3201.9971,2520.458,1658.8206,2283.8,3061.9858,2482.8262,2429.9198,2908.4475,3200.1465,4097.439,2815.1872,2698.9631,2459.3401,3452.6732,2201.7175,3068.7483,2473.6798,3930.114,3127.606,3174.1035,2918.5807,2997.2157,3766.4771,2028.123
2024-04-26 08:15:00,4111.2959,3299.8333,1600.7028,1788.7755,4891.3289,3402.9167,3331.2764,3396.3674,2780.6649,1740.995,2665.7487,3056.6375,2870.9628,2809.6356,3006.3047,2934.1083,4462.1035,3285.5602,2953.403,2585.8414,3838.9977,2361.322,3103.0793,3490.2665,3943.936,3158.9209,3478.8547,2910.8878,3146.8622,3466.9751,2005.7454
2024-04-26 08:30:00,4437.5596,3408.6136,1546.0962,1829.6333,5241.8744,3542.7976,3519.6917,3471.8991,3007.7802,1967.7292,2509.3167,3392.0793,3194.8896,2810.9007,3881.7035,2846.0345,4412.1277,2870.7115,3297.5353,2707.5329,3999.4123,2166.8932,3538.9791,3347.029,3925.3938,3416.2517,3593.907,3238.6177,3068.986,3793.0239,2151.8264
2024-04-26 08:45:00,4726.9774,3491.8998,1497.345,1853.3092,5271.273,3937.2112,3620.603,3592.082,2898.5368,1936.0805,2915.9393,3507.0669,3541.5173,2823.1342,4091.3606,2711.7706,4288.7488,2893.5178,3245.1503,3085.0447,3893.316,2421.6633,3401.8993,3571.343,3917.8672,3296.7869,3535.5679,3594.9125,3013.9555,3830.3003,2062.0074
2024-04-26 09:00:00,4877.0193,3308.9071,1566.7849,1973.9937,5404.7792,3825.1044,3580.1319,3557.376,2877.7644,2021.223,2871.1508,3595.4603,3486.6905,2329.5102,4573.066,2748.262,4302.4802,2855.2728,3330.8079,3038.1018,3951.0505,3134.119,3444.7677,3158.2456,3953.4175,3200.1924,3351.6249,3587.0398,3326.1706,3756.6646,2180.6911
2024-04-26 09:15:00,5154.6421,3222.4233,1476.4047,2043.3803,5136.1545,3854.5292,3667.2661,3682.0726,2986.5113,1952.1275,3013.9993,3500.1496,3378.6668,2382.9997,4486.0878,2905.2603,4378.5682,2862.3654,2873.3178,3040.9483,3657.1911,3414.8725,3184.771,3720.2931,3827.2995,2710.8565,3419.5484,3219.0606,3627.8624,3743.1745,2183.4704
2024-04-26 09:30:00,5244.6839,3150.7266,1672.0911,2122.4995,5299.4242,3838.6832,3649.0361,3639.001,3072.782,2023.2357,2846.4816,3520.5702,3180.7307,2389.0684,4665.0234,2801.547,3961.1486,3026.5593,2830.849,2952.6718,3691.7429,3245.5883,3336.0048,3168.4631,3835.44,2791.2905,3328.5018,3255.1349,3952.8534,3415.1118,2321.3834
2024-04-26 09:45:00,4997.9955,3164.9776,1894.8325,2091.4054,5052.5819,3790.3303,3706.0772,2280.2124,3066.9396,2060.9954,2641.3194,3666.5242,2940.9562,2498.4178,4664.1224,2845.1074,3954.8469,3231.5882,2829.7594,2910.7817,3773.2919,3470.8061,2727.0096,3108.2891,4032.4366,2822.8803,3377.237,3346.5068,3707.8015,3244.6559,2133.0142
2024-04-26 10:00:00,5223.3723,3269.0961,2059.5895,2184.3367,5322.9363,3660.1913,3743.502,2218.7729,3227.3575,2046.3954,2697.5142,3562.3576,3070.9413,2699.6957,4350.6315,3083.1407,4238.9179,3221.9567,2672.6411,2843.1427,3846.3047,3306.8293,2493.2366,2741.4098,4115.8059,2874.8073,3754.7532,3171.6764,3662.1908,3299.0313,2185.8377
2024-04-26 10:15:00,5362.449,3542.9677,2025.9345,2205.3389,5424.4669,3415.2197,2481.1583,2249.5878,2856.8177,1996.8705,2787.7531,3596.0475,2993.4498,2637.2474,4143.6879,2859.2827,4332.5131,3189.4238,2577.8038,2858.785,3675.4737,3454.086,2519.2893,2909.7312,4288.8115,3260.7113,3767.8792,3146.2559,3812.6543,2990.1313,2150.3982
2024-04-26 10:30:00,5243.1574,3356.9994,2123.21,2174.0284,5339.2738,3397.0269,2478.0528,2384.1143,2936.6616,2032.3777,2711.3283,3421.8757,3274.71,2836.0451,4151.9947,2715.5556,4374.7934,3297.7828,2537.9644,2577.4412,3733.9795,3003.2193,2532.7124,2513.4192,4276.0477,2906.2718,3163.3053,2979.4013,4062.3001,2854.4623,2069.9067
2024-04-26 10:45:00,4656.4406,3475.6044,2083.7594,1998.025,4488.4353,3633.7543,2362.6053,2457.7718,2752.628,2172.2022,2809.6746,3849.5786,3417.8004,2824.8634,4241.8381,2948.6898,3127.0928,3297.853,2762.7319,2162.3913,3611.4907,3329.3083,2711.345,2394.6927,4272.9439,2860.3947,2766.4569,2703.3021,3572.6573,2739.039,2079.3908
