Time,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
0:00,2169.7179,3826.8258,4014.385,2863.7006,3906.3462,3028.1249,3280.0008,2885.1288,2943.3398,1838.8755,1970.1416,2799.2723,3132.891,2783.0086,2154.9342,3150.7893,3026.3917,2084.7847,3585.7545,3522.1383,3707.9218,1930.5716,2773.2374,2118.9151,3570.0055,2125,2592.1377,3596.8237,2203.5725,2204.1964,1963.4186
0:05,2145.7288,3797.5564,3937.8952,2805.8097,3853.5716,3156.322,3152.847,2897.8023,2879.3192,1774.3221,1994.9022,2933.9525,3164.2432,2501.349,2265.9588,3121.2022,3040.9574,2041.2557,3682.7712,3670.8791,3691.8803,1818.3288,2733.6707,2171.3942,3601.738,2222.5494,2611.933,3573.7361,2093.9392,2128.3533,1830.4018
0:10,2386.2965,3771.4853,3954.3734,2823.1959,3759.7203,3052.5873,3098.4863,2933.0006,2926.6424,1794.7477,2024.8704,2994.7087,3175.7631,2520.3271,2232.1556,3011.9196,3044.3431,2132.1695,3610.4276,3703.0046,3823.2876,1938.6601,2859.9816,2256.6699,3776.8745,2146.9686,2621.0655,3533.8791,2360.2039,2119.2702,1860.6719
0:15,2347.8838,3678.173,3910.7437,2792.3376,3808.6916,3070.1204,3166.4712,2947.5458,2940.9147,1810.8899,1991.0301,3015.564,3147.6311,2382.1737,2131.8879,3094.6849,3092.78,1992.9308,3677.2408,3822.5197,4294.4271,1949.2665,2890.9426,2681.3056,3669.3075,2229.8587,2677.5203,3610.9142,2257.151,2125.5046,1960.3327
0:20,2396.8793,3868.3094,4176.5947,2694.2968,3876.3116,3122.139,3174.7049,2913.9151,2851.2129,1887.6866,2029.5392,3164.9542,3101.2886,2283.2008,2179.637,3025.5551,3061.0336,1733.3643,3725.981,3814.188,4205.0717,2112.4298,2805.5456,2603.8416,3689.5504,2217.0888,2612.3145,3530.6029,2354.2644,2162.4424,1929.608
0:25,2393.8875,3886.0573,4308.7187,2784.8583,3999.4024,3109.3691,3210.6898,2924.5773,2761.7964,1963.7293,2048.0598,3034.5954,3022.4618,2327.4774,2218.76,2921.1887,3065.3848,1763.5869,3817.2081,3838.2299,3856.8526,2004.4735,2706.069,2559.6012,3778.1619,2295.873,2487.0511,3630.1988,2407.5489,2111.0021,1835.0016
0:30,2456.4616,3782.7988,4341.7243,2761.766,3949.2169,3115.2907,3214.6772,2904.4472,2677.0504,2013.0214,2062.116,3380.045,2995.4571,2337.19,2211.9355,3013.7976,3108.0522,1825.469,3587.5032,3513.322,3986.549,1980.7083,2556.0272,2484.9279,3583.5709,2195.9456,2502.5346,3487.3332,2344.7117,2134.6283,1885.5316
0:35,2425.521,3758.3218,4582.1106,2797.7425,4052.054,3123.9905,3154.8015,2872.3558,2609.6372,2010.719,2110.5175,3389.3839,2919.6764,2484.0414,2276.957,3123.4205,3387.1624,1797.5485,3422.5238,3444.1016,4196.3109,2013.3073,2618.8643,2388.765,3609.3307,2250.4669,2529.0291,3538.6426,2338.0408,2041.0704,1886.0078
0:40,2434.0435,3811.6921,4479.9691,2483.4263,4091.1652,3059.9904,3212.0742,2873.577,2515.8106,1993.4273,2087.8869,3450.144,2933.2711,2604.8536,1983.85,2983.4807,3065.8569,1878.3723,3405.5174,3445.1304,4149.2717,2006.6517,2555.0865,2476.6648,3675.9164,2212.4866,2322.4045,3571.6516,2386.983,2043.5507,1915.9774
0:45,2356.5256,3758.1876,4504.7846,2315.0359,4020.0112,3041.0066,3244.9156,2781.0989,2451.8984,2172.1664,2134.8325,3325.2503,2976.7499,2538.8124,2003.0509,3030.2665,3077.3211,1823.4766,3474.2743,3403.1506,4154.7117,2017.406,2643.3954,2512.5005,3690.9366,2303.8024,2528.8213,3703.2991,2343.5666,2114.1075,1840.6804
0:50,2376.3289,3713.2956,4433.308,2336.3694,4124.4161,3082.2248,3299.9017,2816.7422,2470.778,2162.7415,2129.9516,3303.8177,2983.0541,2476.742,1981.0724,2908.7832,2918.968,1913.4233,3246.0134,3448.0632,4012.4845,2089.1045,2502.8236,2423.7291,3576.8858,2407.6901,2585.608,3912.0867,2329.1148,2029.6446,1851.7571
0:55,3618.6497,3745.4435,4400.5795,2316.3229,4028.7465,3244.0062,3302.6264,2847.8746,2306,2156.8935,2185.3603,3471.2132,2952.6364,2195.4058,1989.4465,2904.4847,3063.4263,1995.5438,2887.3723,3355.8519,4021.9349,2118.4176,2576.6451,2564.1784,3638.4138,2404.0102,2384.9834,3607.9001,2422.7072,2095.1164,1850.0236
1:00,3785.565,3541.8275,4302.6806,2180.9928,4052.4667,3197.3647,3300.446,2726.6125,2520.6073,2112.0427,2177.7948,3592.2415,2765.8212,2197.7229,1920.0533,2729.4907,3178.0095,1960.9262,2886.3669,3330.6946,4257.9066,2104.1398,2655.5252,2562.7974,3695.2289,2667.9211,2486.3116,3517.919,2360.5067,1972.1724,1963.8491
1:05,3725.1745,3516.9669,4349.4612,2225.3733,4090.2033,3130.5499,3203.0463,2877.907,2401.4588,2181.4902,2192.2572,3524.2387,2684.1974,2377.4221,1950.9872,2665.803,3153.9882,1949.2086,2689.5021,3196.8478,3907.6786,2178.6486,2557.5294,2627.0088,3564.342,2578.8028,2354.3933,3766.4136,2032.8689,2090.6471,1883.1361
1:10,3745.995,3300.1545,3786.6829,2156.8718,4116.6764,3157.7917,3147.8362,2871.7428,2361.2187,2319.9633,2249.07,3690.9248,2577.9615,2303.1692,1817.573,2863.3795,3107.4646,2022.7483,2625.0362,3327.3398,4109.5676,2063.3291,2546.5158,2615.2245,3604.6723,2398.9167,2596.9543,4108.2816,2007.0166,2012.8483,1857.4037
